"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 14, 2018","3,242.09","3,242.83","3,254.10","3,227.94","60.13K","0.17%"
"Sep 13, 2018","3,236.57","3,239.69","3,249.59","3,191.40","67.29K","1.08%"
"Sep 12, 2018","3,202.02","3,216.99","3,225.60","3,194.98","54.63K","-0.69%"
"Sep 11, 2018","3,224.21","3,229.71","3,245.62","3,209.11","58.49K","-0.18%"
"Sep 10, 2018","3,230.07","3,271.38","3,277.88","3,227.85","63.82K","-1.45%"
"Sep 07, 2018","3,277.64","3,273.89","3,316.61","3,253.72","63.95K","0.45%"
"Sep 06, 2018","3,262.88","3,286.66","3,311.50","3,253.76","62.30K","-1.07%"
"Sep 05, 2018","3,298.14","3,349.70","3,354.20","3,298.14","64.30K","-1.95%"
"Sep 04, 2018","3,363.90","3,324.19","3,370.96","3,307.96","67.09K","1.27%"
"Sep 03, 2018","3,321.82","3,320.69","3,325.61","3,291.78","66.43K","-0.38%"
"Aug 31, 2018","3,334.50","3,333.38","3,356.58","3,310.87","76.21K","-0.50%"
"Aug 30, 2018","3,351.09","3,385.81","3,402.56","3,349.47","68.39K","-1.05%"
"Aug 29, 2018","3,386.57","3,393.05","3,398.71","3,377.12","67.02K","-0.40%"
"Aug 28, 2018","3,400.17","3,408.15","3,416.59","3,388.81","75.45K","-0.19%"
"Aug 27, 2018","3,406.57","3,339.39","3,406.57","3,339.26","94.27K","2.44%"
"Aug 24, 2018","3,325.33","3,308.48","3,353.04","3,291.87","63.77K","0.16%"
"Aug 23, 2018","3,320.03","3,308.46","3,336.11","3,285.81","61.11K","0.37%"
"Aug 22, 2018","3,307.95","3,328.97","3,328.97","3,299.39","50.79K","-0.56%"
"Aug 21, 2018","3,326.65","3,271.84","3,331.71","3,270.03","75.21K","1.82%"
"Aug 20, 2018","3,267.25","3,238.22","3,267.25","3,209.01","70.90K","1.17%"
"Aug 17, 2018","3,229.62","3,305.90","3,311.57","3,224.10","67.40K","-1.44%"
"Aug 16, 2018","3,276.73","3,251.86","3,315.20","3,231.56","76.55K","-0.46%"
"Aug 15, 2018","3,291.98","3,371.96","3,372.14","3,288.71","68.17K","-2.40%"
"Aug 14, 2018","3,372.91","3,386.48","3,391.73","3,356.61","60.65K","-0.51%"
"Aug 13, 2018","3,390.34","3,369.98","3,396.19","3,336.70","76.19K","-0.43%"
"Aug 10, 2018","3,405.02","3,398.41","3,424.04","3,380.57","68.97K","0.22%"
"Aug 09, 2018","3,397.53","3,303.48","3,408.39","3,299.62","91.96K","2.50%"
"Aug 08, 2018","3,314.51","3,362.15","3,368.16","3,311.77","79.29K","-1.61%"
"Aug 07, 2018","3,368.87","3,284.98","3,368.96","3,263.50","91.78K","2.92%"
"Aug 06, 2018","3,273.27","3,312.82","3,344.25","3,257.69","77.98K","-1.27%"
"Aug 03, 2018","3,315.28","3,366.66","3,381.34","3,315.20","70.80K","-1.65%"
"Aug 02, 2018","3,370.96","3,434.35","3,434.35","3,322.10","101.31K","-2.22%"
"Aug 01, 2018","3,447.39","3,530.03","3,543.61","3,446.78","90.35K","-2.00%"
"Jul 31, 2018","3,517.66","3,510.47","3,528.15","3,493.15","67.98K","0.07%"
"Jul 30, 2018","3,515.08","3,520.85","3,550.90","3,489.55","82.12K","-0.17%"
"Jul 27, 2018","3,521.23","3,533.77","3,545.41","3,512.70","70.18K","-0.42%"
"Jul 26, 2018","3,536.25","3,583.32","3,593.92","3,528.64","90.35K","-1.16%"
"Jul 25, 2018","3,577.75","3,589.51","3,589.98","3,566.31","96.76K","-0.11%"
"Jul 24, 2018","3,581.71","3,530.66","3,596.51","3,530.66","156.91K","1.59%"
"Jul 23, 2018","3,525.75","3,471.86","3,527.53","3,464.65","119.04K","0.94%"
"Jul 20, 2018","3,492.89","3,426.46","3,505.93","3,398.95","101.99K","1.88%"
"Jul 19, 2018","3,428.34","3,444.80","3,466.51","3,417.96","68.48K","-0.09%"
"Jul 18, 2018","3,431.32","3,456.61","3,479.26","3,430.16","66.53K","-0.52%"
"Jul 17, 2018","3,449.38","3,466.42","3,467.19","3,420.97","61.98K","-0.65%"
"Jul 16, 2018","3,472.09","3,488.97","3,506.24","3,459.73","68.28K","-0.59%"
"Jul 13, 2018","3,492.69","3,488.50","3,499.76","3,474.91","72.96K","0.33%"
"Jul 12, 2018","3,481.06","3,403.33","3,499.10","3,403.33","96.35K","2.16%"
"Jul 11, 2018","3,407.53","3,398.93","3,427.57","3,375.14","72.04K","-1.73%"
"Jul 10, 2018","3,467.52","3,464.91","3,474.14","3,437.27","69.55K","0.24%"
"Jul 09, 2018","3,459.18","3,378.91","3,459.32","3,378.91","76.60K","2.80%"
"Jul 06, 2018","3,365.12","3,347.06","3,396.25","3,295.73","86.10K","0.68%"
"Jul 05, 2018","3,342.44","3,365.55","3,398.49","3,330.71","81.59K","-0.63%"
"Jul 04, 2018","3,363.75","3,398.78","3,418.33","3,359.09","75.16K","-1.34%"
"Jul 03, 2018","3,409.28","3,410.48","3,422.04","3,319.29","95.28K","0.04%"
"Jul 02, 2018","3,407.96","3,504.46","3,506.90","3,383.50","84.35K","-2.93%"
"Jun 29, 2018","3,510.98","3,431.96","3,512.38","3,425.22","77.26K","2.55%"
"Jun 28, 2018","3,423.53","3,434.94","3,477.06","3,416.95","75.92K","-1.03%"
"Jun 27, 2018","3,459.26","3,525.13","3,537.66","3,441.78","81.49K","-2.03%"
"Jun 26, 2018","3,531.11","3,521.59","3,541.78","3,478.21","84.99K","-0.82%"
"Jun 25, 2018","3,560.48","3,625.80","3,631.03","3,559.03","79.88K","-1.34%"
"Jun 22, 2018","3,608.90","3,567.89","3,609.08","3,542.46","75.12K","0.44%"
"Jun 21, 2018","3,592.97","3,633.56","3,673.56","3,589.49","93.91K","-1.17%"
"Jun 20, 2018","3,635.44","3,602.55","3,649.34","3,578.17","86.72K","0.40%"
"Jun 19, 2018","3,621.12","3,702.67","3,712.82","3,583.02","160.71K","-3.53%"
"Jun 15, 2018","3,753.43","3,763.04","3,780.34","3,737.43","85.49K","-0.53%"
"Jun 14, 2018","3,773.37","3,774.64","3,808.16","3,759.25","68.47K","-0.40%"
"Jun 13, 2018","3,788.34","3,814.62","3,817.45","3,782.07","66.38K","-0.98%"
"Jun 12, 2018","3,825.95","3,783.19","3,830.47","3,765.26","73.21K","1.22%"
"Jun 11, 2018","3,779.98","3,770.21","3,792.55","3,756.51","68.71K","0.01%"
"Jun 08, 2018","3,779.62","3,819.45","3,819.46","3,759.27","83.34K","-1.34%"
"Jun 07, 2018","3,831.01","3,846.94","3,859.85","3,827.69","80.26K","-0.17%"
"Jun 06, 2018","3,837.35","3,839.68","3,848.33","3,830.90","73.12K","-0.21%"
"Jun 05, 2018","3,845.32","3,811.29","3,845.56","3,800.93","78.69K","0.99%"
"Jun 04, 2018","3,807.58","3,785.19","3,813.41","3,776.62","76.62K","0.98%"
"Jun 01, 2018","3,770.59","3,789.67","3,802.54","3,753.84","77.82K","-0.84%"
"May 31, 2018","3,802.38","3,749.30","3,804.79","3,742.53","92.67K","2.12%"
